
Yasemin Acar
Sadia Afroz
Devdatta Akhawe
Johanna Amann
Adam Aviv
Michael Bailey
Adam Bates
Vincent Bindschaedler
Joseph Bonneau
Nikita Borisov
Sven Bugiel
Kevin Butler
Joe Calandrino
Stefano Calzavara
Yinzhi Cao
Srdjan Capkun
Lorenzo Cavallaro
Stephen Checkoway
Bill Cheswick
Marshini Chetty
Mihai Christodorescu
Erinn Clark
George Danezis
Nathan Dautenhahn
Roger Dingledine
Adam Doupe
Thomas Dullien
Zakir Durumeric
Manuel Egele
William Enck
Roya Ensafi
David Evans
Sascha Fahl
Giulia Fanti
Nick Feamster
Adrienne Porter Felt
Earlence Fernandes
David Freeman
Daniel Genkin
Neil Gong
Matthew Green
Rachel Greenstadt
Daniel Gruss
Joseph Lorenzo Hall
Xiali (Sharon) Hei
Thorsten Holz
Trent Jaeger
Rob Jansen
Mobin Javed
Chris Kanich
Vasileios Kemerlis
Yongdae Kim
Lea Kissner
Yoshi Kohno
Farinaz Koushanfar
Katharina Krombholz
Ben Laurie
Tancrède Lepoint
Martina Lindorfer
Allison Mankin
Ivan Martinovic
Stephen McCamant
Jon McCune
Patrick McDaniel
Sarah Meiklejohn
Jelena Mirkovic
Prateek Mittal
Veelasha Moonsamy
Adwait Nadkarni
Yossi Oren
Nicolas Papernot
Kenny Paterson
Mathias Payer
Giancarlo Pellegrino
Christina Pöpper
Brad Reaves
Elissa Redmiles
Konrad Rieck
Tom Ristenpart
Tom Ritter
Franziska Roesner
Ahmad-Reza Sadeghi
Prateek Saxena
Nolen Scaife
Wendy Seltzer
Micah Sherr
Deian Stefan
Ben Stock
Gianluca Stringhini
Dave 'Jing' Tian
Luke Valenta
Ingrid Verbauwhede
David Wagner
Byron Williams
Eric Wustrow
Wenyuan Xu
Yuval Yarom
Tuba Yavuz
Daniel Zappala
Mary Ellen Zurko
